Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
22,5.1,3.7,1.5,0.4,Iris-setosa
48,4.6,3.2,1.4,0.2,Iris-setosa
142,6.9,3.1,5.1,2.3,Iris-virginica
91,5.5,2.6,4.4,1.2,Iris-versicolor
65,5.6,2.9,3.6,1.3,Iris-versicolor
86,6.0,3.4,4.5,1.6,Iris-versicolor
88,6.3,2.3,4.4,1.3,Iris-versicolor
120,6.0,2.2,5.0,1.5,Iris-virginica
137,6.3,3.4,5.6,2.4,Iris-virginica
53,6.9,3.1,4.9,1.5,Iris-versicolor
146,6.7,3.0,5.2,2.3,Iris-virginica
36,5.0,3.2,1.2,0.2,Iris-setosa
85,5.4,3.0,4.5,1.5,Iris-versicolor
84,6.0,2.7,5.1,1.6,Iris-versicolor
104,6.3,2.9,5.6,1.8,Iris-virginica
25,4.8,3.4,1.9,0.2,Iris-setosa
109,6.7,2.5,5.8,1.8,Iris-virginica
69,6.2,2.2,4.5,1.5,Iris-versicolor
95,5.6,2.7,4.2,1.3,Iris-versicolor
8,5.0,3.4,1.5,0.2,Iris-setosa
3,4.7,3.2,1.3,0.2,Iris-setosa
124,6.3,2.7,4.9,1.8,Iris-virginica
144,6.8,3.2,5.9,2.3,Iris-virginica
56,5.7,2.8,4.5,1.3,Iris-versicolor
143,5.8,2.7,5.1,1.9,Iris-virginica
133,6.4,2.8,5.6,2.2,Iris-virginica
39,4.4,3.0,1.3,0.2,Iris-setosa
30,4.7,3.2,1.6,0.2,Iris-setosa
141,6.7,3.1,5.6,2.4,Iris-virginica
40,5.1,3.4,1.5,0.2,Iris-setosa
34,5.5,4.2,1.4,0.2,Iris-setosa
21,5.4,3.4,1.7,0.2,Iris-setosa
2,4.9,3.0,1.4,0.2,Iris-setosa
117,6.5,3.0,5.5,1.8,Iris-virginica
15,5.8,4.0,1.2,0.2,Iris-setosa
82,5.5,2.4,3.7,1.0,Iris-versicolor
145,6.7,3.3,5.7,2.5,Iris-virginica
62,5.9,3.0,4.2,1.5,Iris-versicolor
147,6.3,2.5,5.0,1.9,Iris-virginica
123,7.7,2.8,6.7,2.0,Iris-virginica
73,6.3,2.5,4.9,1.5,Iris-versicolor
79,6.0,2.9,4.5,1.5,Iris-versicolor
134,6.3,2.8,5.1,1.5,Iris-virginica
136,7.7,3.0,6.1,2.3,Iris-virginica
98,6.2,2.9,4.3,1.3,Iris-versicolor
66,6.7,3.1,4.4,1.4,Iris-versicolor
115,5.8,2.8,5.1,2.4,Iris-virginica
83,5.8,2.7,3.9,1.2,Iris-versicolor
100,5.7,2.8,4.1,1.3,Iris-versicolor
47,5.1,3.8,1.6,0.2,Iris-setosa
101,6.3,3.3,6.0,2.5,Iris-virginica
29,5.2,3.4,1.4,0.2,Iris-setosa
111,6.5,3.2,5.1,2.0,Iris-virginica
45,5.1,3.8,1.9,0.4,Iris-setosa
23,4.6,3.6,1.0,0.2,Iris-setosa
74,6.1,2.8,4.7,1.2,Iris-versicolor
35,4.9,3.1,1.5,0.1,Iris-setosa
89,5.6,3.0,4.1,1.3,Iris-versicolor
131,7.4,2.8,6.1,1.9,Iris-virginica
14,4.3,3.0,1.1,0.1,Iris-setosa
121,6.9,3.2,5.7,2.3,Iris-virginica
41,5.0,3.5,1.3,0.3,Iris-setosa
19,5.7,3.8,1.7,0.3,Iris-setosa
135,6.1,2.6,5.6,1.4,Iris-virginica
139,6.0,3.0,4.8,1.8,Iris-virginica
26,5.0,3.0,1.6,0.2,Iris-setosa
87,6.7,3.1,4.7,1.5,Iris-versicolor
11,5.4,3.7,1.5,0.2,Iris-setosa
28,5.2,3.5,1.5,0.2,Iris-setosa
52,6.4,3.2,4.5,1.5,Iris-versicolor
130,7.2,3.0,5.8,1.6,Iris-virginica
60,5.2,2.7,3.9,1.4,Iris-versicolor
76,6.6,3.0,4.4,1.4,Iris-versicolor
31,4.8,3.1,1.6,0.2,Iris-setosa
50,5.0,3.3,1.4,0.2,Iris-setosa
71,5.9,3.2,4.8,1.8,Iris-versicolor
116,6.4,3.2,5.3,2.3,Iris-virginica
93,5.8,2.6,4.0,1.2,Iris-versicolor
90,5.5,2.5,4.0,1.3,Iris-versicolor
125,6.7,3.3,5.7,2.1,Iris-virginica
68,5.8,2.7,4.1,1.0,Iris-versicolor
105,6.5,3.0,5.8,2.2,Iris-virginica
7,4.6,3.4,1.4,0.3,Iris-setosa
59,6.6,2.9,4.6,1.3,Iris-versicolor
129,6.4,2.8,5.6,2.1,Iris-virginica
92,6.1,3.0,4.6,1.4,Iris-versicolor
96,5.7,3.0,4.2,1.2,Iris-versicolor
32,5.4,3.4,1.5,0.4,Iris-setosa
24,5.1,3.3,1.7,0.5,Iris-setosa
150,5.9,3.0,5.1,1.8,Iris-virginica
80,5.7,2.6,3.5,1.0,Iris-versicolor
118,7.7,3.8,6.7,2.2,Iris-virginica
51,7.0,3.2,4.7,1.4,Iris-versicolor
49,5.3,3.7,1.5,0.2,Iris-setosa
64,6.1,2.9,4.7,1.4,Iris-versicolor
119,7.7,2.6,6.9,2.3,Iris-virginica
126,7.2,3.2,6.0,1.8,Iris-virginica
20,5.1,3.8,1.5,0.3,Iris-setosa
5,5.0,3.6,1.4,0.2,Iris-setosa
127,6.2,2.8,4.8,1.8,Iris-virginica
140,6.9,3.1,5.4,2.1,Iris-virginica
18,5.1,3.5,1.4,0.3,Iris-setosa
138,6.4,3.1,5.5,1.8,Iris-virginica
61,5.0,2.0,3.5,1.0,Iris-versicolor
70,5.6,2.5,3.9,1.1,Iris-versicolor
81,5.5,2.4,3.8,1.1,Iris-versicolor
110,7.2,3.6,6.1,2.5,Iris-virginica
33,5.2,4.1,1.5,0.1,Iris-setosa
106,7.6,3.0,6.6,2.1,Iris-virginica
78,6.7,3.0,5.0,1.7,Iris-versicolor
102,5.8,2.7,5.1,1.9,Iris-virginica
37,5.5,3.5,1.3,0.2,Iris-setosa
132,7.9,3.8,6.4,2.0,Iris-virginica
46,4.8,3.0,1.4,0.3,Iris-setosa
97,5.7,2.9,4.2,1.3,Iris-versicolor
42,4.5,2.3,1.3,0.3,Iris-setosa
94,5.0,2.3,3.3,1.0,Iris-versicolor
27,5.0,3.4,1.6,0.4,Iris-setosa
4,4.6,3.1,1.5,0.2,Iris-setosa
43,4.4,3.2,1.3,0.2,Iris-setosa
